tconst	averageRating	numVotes
tt0021929	6.9	22
tt0021946	7.3	18
tt0021963	5.6	213
tt0021981	6.2	116
tt0021992	6.1	1144
tt0022008	6.5	24
tt0022024	4.3	28
tt0022043	5.8	398
tt0022055	6.7	20
tt0022065	6.8	93
tt0022083	7.3	162
tt0022097	7.1	19
tt0022111	6.8	3296
tt0022123	6.0	20
tt0022138	6.4	13
tt0022150	7.4	3782
tt0022164	6.2	528
tt0022178	6.4	200
tt0022192	6.2	46
tt0022207	7.5	12
tt0022223	6.0	510
tt0022236	6.4	1361
tt0022249	6.6	11
tt0022265	4.3	409
tt0022280	6.9	18
tt0022293	5.6	475
tt0022303	6.4	280
tt0022320	6.1	57
tt0022336	5.8	130
tt0022356	5.6	106
tt0022373	5.8	459
tt0022386	6.6	1105
tt0022399	2.8	37
tt0022412	6.1	207
tt0022424	4.4	37
tt0022436	7.6	2003
tt0022450	5.7	51
tt0022461	6.0	6
tt0022473	6.4	28
tt0022487	6.7	16
tt0022505	7.2	54
tt0022520	6.5	71
tt0022543	6.4	90
tt0022556	5.5	57
tt0022575	7.4	26
tt0022588	5.1	30
tt0022603	5.8	75
tt0022614	6.0	427
tt0022628	6.3	1248
tt0022646	5.9	40
tt0022658	6.2	19
tt0022670	6.7	232
tt0022682	5.9	262
tt0022694	6.8	1361
tt0022707	5.1	173
tt0022718	7.2	6095
tt0022734	4.2	22
tt0022751	6.2	487
tt0022763	7.1	29
tt0022776	5.7	18
tt0022791	5.5	130
tt0022802	6.7	1354
tt0022817	6.2	425
tt0022832	7.1	80
tt0022850	6.4	16
tt0022864	6.0	144
tt0022879	6.4	6632
tt0022892	6.2	23
tt0022905	6.9	1607
tt0022919	8.0	9
tt0022932	5.3	25
tt0022944	7.1	17
tt0022959	5.8	20
tt0022969	5.4	20
tt0022980	6.4	5
tt0022992	6.7	38
tt0023007	6.6	666
tt0023023	3.0	8
tt0023034	5.7	245
tt0023044	5.4	205
tt0023056	6.4	38
tt0023071	6.5	322
tt0023084	5.5	139
tt0023098	5.3	38
tt0023113	5.4	91
tt0023125	6.5	1097
tt0023140	5.8	64
tt0023152	6.1	22
tt0023165	5.3	68
tt0023180	6.5	810
tt0023194	6.2	3655
tt0023208	6.1	157
tt0023221	4.9	178
tt0023235	6.8	117
tt0023247	4.4	164
tt0023261	6.9	462
tt0023272	6.9	90
tt0023288	6.0	107
tt0023302	6.8	207
tt0023315	6.3	35
tt0023328	7.5	75
tt0023342	5.9	358
tt0023353	5.5	19
tt0023368	6.8	59
tt0023379	6.4	85
tt0023393	6.8	207
tt0023406	5.3	180
tt0023417	6.7	153
tt0023433	5.7	81
tt0023448	7.6	20
tt0023461	5.4	13
tt0023474	6.0	33
tt0023486	7.2	910
tt0023497	7.7	178
tt0023510	2.9	18
tt0023522	5.5	35
tt0023532	7.3	16
tt0023548	6.5	56
tt0023564	5.4	23
tt0023576	5.5	150
tt0023590	7.1	4265
tt0023603	6.6	55
tt0023614	5.8	45
tt0023627	6.5	73
tt0023641	5.2	138
tt0023658	6.2	132
tt0023673	6.6	171
tt0023685	6.2	565
tt0023696	6.3	438
tt0023711	4.9	33
tt0023723	5.6	119
tt0023742	6.1	418
tt0023757	8.2	6
tt0023769	6.2	267
tt0023782	5.9	35
tt0023793	6.0	326
tt0023806	5.4	31
tt0023817	6.6	774
tt0023830	5.1	224
tt0023841	7.3	80
tt0023852	4.6	223
tt0023866	6.4	39
tt0023883	5.8	70
tt0023896	6.0	181
tt0023911	7.5	1476
tt0023926	6.7	2623
tt0023938	6.3	674
tt0023948	7.5	8875
tt0023960	6.8	1282
tt0023974	7.6	11
tt0023985	6.4	1218
tt0023999	6.6	21
tt0024013	5.3	41
tt0024025	6.6	3933
tt0024038	3.0	21
tt0024050	5.4	76
tt0024060	8.0	16
tt0024074	5.9	30
tt0024086	6.3	135
tt0024100	6.6	554
tt0024114	4.7	16
tt0024127	5.5	1804
tt0024142	6.6	19
tt0024157	6.3	217
tt0024170	6.0	295
tt0024188	7.4	10698
tt0024203	6.8	87
tt0024215	3.8	14
tt0024227	4.8	10
tt0024240	7.4	4538
tt0024254	6.5	66
tt0024270	6.2	35
tt0024283	5.6	21
tt0024296	5.3	33
tt0024311	5.8	31
tt0024327	6.2	307
tt0024339	6.6	545
tt0024354	6.2	190
tt0024365	6.3	139
tt0024379	5.6	309
tt0024400	5.7	120
tt0024418	7.3	401
tt0024432	6.2	163
tt0024444	5.6	135
tt0024456	5.9	33
tt0024470	7.1	182
tt0024482	4.9	21
tt0024500	5.4	1181
tt0024514	6.6	250
tt0024531	6.9	20
tt0024546	6.5	44
tt0024559	6.1	180
tt0024570	6.4	179
tt0024582	6.9	38
tt0024598	6.7	899
tt0024611	7.0	26
tt0024629	6.6	43
tt0024645	4.8	808
tt0024662	5.0	52
tt0024674	6.3	655
tt0024687	5.3	8
tt0024701	6.9	771
tt0024722	6.6	64
tt0024743	6.1	11
tt0024755	7.0	67
tt0024768	5.4	226
tt0024780	5.5	46
tt0024792	6.5	1499
tt0024805	5.1	1105
tt0024817	7.1	44
tt0024829	5.3	42
tt0024844	7.7	17210
tt0024856	6.6	13
tt0024869	5.6	15
tt0024880	6.2	399
tt0024893	4.8	122
tt0024906	6.2	1235
tt0024920	5.1	106
tt0024930	5.1	100
tt0024945	5.6	127
tt0024958	6.9	999
tt0024969	7.1	476
tt0024986	6.3	90
tt0025000	5.9	45
tt0025012	6.5	117
tt0025024	6.0	43
tt0025035	6.6	105
tt0025050	6.0	57
tt0025066	4.7	263
tt0025077	6.6	38
tt0025092	6.4	89
tt0025111	6.2	41
tt0025124	5.6	821
tt0025134	6.2	701
tt0025148	6.2	6
tt0025163	6.4	651
tt0025174	5.4	45
tt0025189	6.7	259
tt0025201	6.5	34
tt0025214	6.5	517
tt0025227	5.4	1253
tt0025240	6.5	22
tt0025254	6.4	536
tt0025265	3.3	8
tt0025281	5.9	22
tt0025291	7.1	13
tt0025308	4.8	19
tt0025323	4.4	424
tt0025335	6.2	2461
tt0025346	6.0	544
tt0025363	6.3	480
tt0025375	5.3	112
tt0025388	7.0	12
tt0025404	5.1	68
tt0025417	5.9	171
tt0025432	5.0	26
tt0025448	7.8	234
tt0025459	6.4	746
tt0025473	6.3	74
tt0025488	7.7	1441
tt0025499	5.5	1153
tt0025512	5.8	32
tt0025526	6.9	21
tt0025538	6.7	126
tt0025548	9.0	9
tt0025564	5.8	154
tt0025585	6.0	52
tt0025597	7.4	17
tt0025608	7.8	49
tt0025623	6.8	80
tt0025639	6.5	117
tt0025651	5.2	282
tt0025666	7.0	46
tt0025682	7.2	30
tt0025700	2.4	42
tt0025711	5.1	44
tt0025724	5.6	54
tt0025737	6.8	21
tt0025751	6.9	11
tt0025768	7.0	134
tt0025780	7.3	326
tt0025796	5.8	143
tt0025809	6.4	349
tt0025832	5.7	53
tt0025843	5.1	154
tt0025856	7.0	69
tt0025873	7.6	2293
tt0025885	5.3	124
tt0025896	5.9	84
tt0025917	4.8	12
tt0025928	5.2	27
tt0025942	6.2	129
tt0025953	6.6	44
tt0025966	6.3	242
tt0025981	5.0	43
tt0025991	6.1	67
tt0026002	6.0	16
tt0026015	6.6	218
tt0026032	5.7	100
tt0026044	5.5	97
tt0026056	6.9	4465
tt0026066	3.2	19
tt0026081	3.9	20
tt0026093	6.5	71
tt0026104	5.9	1253
tt0026114	5.7	72
tt0026124	6.8	390
tt0026134	5.8	653
tt0026146	5.6	92
tt0026157	4.9	134
tt0026176	5.5	99
tt0026187	6.1	780
tt0026200	6.1	130
tt0026211	5.9	131
tt0026230	4.8	570
tt0026242	5.9	91
tt0026254	5.2	47
tt0026266	7.4	4659
tt0026276	6.9	3868
tt0026289	6.1	449
tt0026304	6.9	37
tt0026314	7.0	56
tt0026328	5.0	339
tt0026338	6.5	467
tt0026356	5.3	35
tt0026368	6.1	47
tt0026379	6.5	27
tt0026394	5.8	420
tt0026409	6.8	767
tt0026419	6.5	699
tt0026433	6.6	12
tt0026447	5.8	80
tt0026460	6.6	32
tt0026474	5.1	18
tt0026485	6.5	77
tt0026496	5.5	61
tt0026508	6.7	572
tt0026520	4.6	19
tt0026534	6.2	755
tt0026545	6.9	22
tt0026559	3.9	16
tt0026570	5.6	16
tt0026581	8.5	17
tt0026597	5.6	73
tt0026610	5.9	104
tt0026621	6.6	213
tt0026637	6.0	81
tt0026650	5.0	60
tt0026667	6.8	1085
tt0026677	6.5	63
tt0026692	7.3	192
tt0026706	7.4	1185
tt0026718	5.1	108
tt0026731	4.8	59
tt0026746	6.2	35
tt0026757	7.7	12
tt0026772	5.3	416
tt0026784	6.3	323
tt0026794	4.2	42
tt0026809	5.8	169
tt0026820	4.8	16
tt0026831	7.1	249
tt0026843	2.9	24
tt0026857	4.9	50
tt0026867	6.2	529
tt0026880	4.7	15
tt0026897	6.4	285
tt0026909	5.2	58
tt0026922	6.6	991
tt0026934	6.1	212
tt0026952	4.8	57
tt0026967	8.4	21
tt0026981	4.2	122
tt0026995	5.8	37
tt0027006	5.4	15
tt0027017	4.8	21
tt0027030	5.2	44
tt0027042	6.9	1312
tt0027054	5.4	33
tt0027064	6.0	128
tt0027075	7.8	6177
tt0027087	5.1	1041
tt0027100	6.8	1277
tt0027112	5.8	190
tt0027123	5.8	116
tt0027134	6.4	33
tt0027152	7.6	745
tt0027164	6.0	480
tt0027181	6.3	13
tt0027191	8.1	24
tt0027201	5.3	126
tt0027214	7.3	3135
tt0027229	4.9	31
tt0027241	5.3	74
tt0027255	5.3	213
tt0027271	6.0	75
tt0027281	7.2	1050
tt0027301	7.8	764
tt0027315	6.1	124
tt0027326	5.7	27
tt0027336	7.5	3624
tt0027351	6.2	73
tt0027361	5.7	294
tt0027372	5.8	150
tt0027383	6.5	34
tt0027393	5.7	61
tt0027404	7.2	20
tt0027415	6.3	199
tt0027428	6.3	774
tt0027439	6.8	1781
tt0027450	6.3	38
